,TTM Net EPS,Ticker
2023-02-11,$6.19,STT
2023-02-12,$6.19,STT
2023-02-13,$6.19,STT
2023-02-14,$6.19,STT
2023-02-15,$6.19,STT
2023-02-16,$6.19,STT
2023-02-17,$6.19,STT
2023-02-18,$6.19,STT
2023-02-19,$6.19,STT
2023-02-20,$6.19,STT
2023-02-21,$6.19,STT
2023-02-22,$6.19,STT
2023-02-23,$6.19,STT
2023-02-24,$6.19,STT
2023-02-25,$6.19,STT
2023-02-26,$6.19,STT
2023-02-27,$6.19,STT
2023-02-28,$6.19,STT
2023-03-01,$6.19,STT
2023-03-02,$6.19,STT
2023-03-03,$6.19,STT
2023-03-04,$6.19,STT
2023-03-05,$6.19,STT
2023-03-06,$6.19,STT
2023-03-07,$6.19,STT
2023-03-08,$6.19,STT
2023-03-09,$6.19,STT
2023-03-10,$6.19,STT
2023-03-11,$6.19,STT
2023-03-12,$6.19,STT
2023-03-13,$6.19,STT
2023-03-14,$6.19,STT
2023-03-15,$6.19,STT
2022-12-31,$3.00,STLD
2023-01-01,$3.00,STLD
2023-01-02,$3.00,STLD
2023-01-03,$3.00,STLD
2023-01-04,$3.00,STLD
2023-01-05,$3.00,STLD
2023-01-06,$3.00,STLD
2023-01-07,$3.00,STLD
2023-01-08,$3.00,STLD
2023-01-09,$3.00,STLD
2023-01-10,$3.00,STLD
2023-01-11,$3.00,STLD
2023-01-12,$3.00,STLD
2023-01-13,$3.00,STLD
2023-01-14,$3.00,STLD
2023-01-15,$3.00,STLD
2023-01-16,$3.00,STLD
2023-01-17,$3.00,STLD
2023-01-18,$3.00,STLD
2023-01-19,$3.00,STLD
2023-01-20,$3.00,STLD
2023-01-21,$3.00,STLD
2023-01-22,$3.00,STLD
2023-01-23,$3.00,STLD
2023-01-24,$3.00,STLD
2023-01-25,$3.00,STLD
2023-01-26,$3.00,STLD
2023-01-27,$3.00,STLD
2023-01-28,$3.00,STLD
2023-01-29,$3.00,STLD
2023-01-30,$3.00,STLD
2023-01-31,$3.00,STLD
2023-02-01,$3.00,STLD
2023-02-02,$3.00,STLD
2023-02-03,$3.00,STLD
2023-02-04,$3.00,STLD
2023-02-05,$3.00,STLD
2023-02-06,$3.00,STLD
2023-02-07,$3.00,STLD
2023-02-08,$3.00,STLD
2023-02-09,$3.00,STLD
2023-02-10,$3.00,STLD
2023-02-11,$3.00,STLD
2023-02-12,$3.00,STLD
2023-02-13,$3.00,STLD
2023-02-14,$3.00,STLD
2023-02-15,$3.00,STLD
2023-02-16,$3.00,STLD
2023-02-17,$3.00,STLD
2023-02-18,$3.00,STLD
2023-02-19,$3.00,STLD
2023-02-20,$3.00,STLD
2023-02-21,$3.00,STLD
2023-02-22,$3.00,STLD
2023-02-23,$3.00,STLD
2023-02-24,$3.00,STLD
2023-02-25,$3.00,STLD
2023-02-26,$3.00,STLD
2023-02-27,$3.00,STLD
2023-02-28,$3.00,STLD
2023-03-01,$3.00,STLD
2023-03-02,$3.00,STLD
2023-03-03,$3.00,STLD
2023-03-04,$3.00,STLD
2023-03-05,$3.00,STLD
2023-03-06,$3.00,STLD
2023-03-07,$3.00,STLD
2023-03-08,$3.00,STLD
2023-03-09,$3.00,STLD
2023-03-10,$3.00,STLD
2023-03-11,$3.00,STLD
2023-03-12,$3.00,STLD
2023-03-13,$3.00,STLD
2023-03-14,$3.00,STLD
2023-03-15,$3.00,STLD
2022-12-31,$4.77,STE
2023-01-01,$4.77,STE
2023-01-02,$4.77,STE
2023-01-03,$4.77,STE
2023-01-04,$4.77,STE
2023-01-05,$4.77,STE
2023-01-06,$4.77,STE
2023-01-07,$4.77,STE
2023-01-08,$4.77,STE
2023-01-09,$4.77,STE
2023-01-10,$4.77,STE
2023-01-11,$4.77,STE
2023-01-12,$4.77,STE
2023-01-13,$4.77,STE
2023-01-14,$4.77,STE
2023-01-15,$4.77,STE
2023-01-16,$4.77,STE
2023-01-17,$4.77,STE
2023-01-18,$4.77,STE
2023-01-19,$4.77,STE
2023-01-20,$4.77,STE
2023-01-21,$4.77,STE
2023-01-22,$4.77,STE
2023-01-23,$4.77,STE
2023-01-24,$4.77,STE
2023-01-25,$4.77,STE
2023-01-26,$4.77,STE
2023-01-27,$4.77,STE
2023-01-28,$4.77,STE
2023-01-29,$4.77,STE
2023-01-30,$4.77,STE
2023-01-31,$4.77,STE
2023-02-01,$4.77,STE
2023-02-02,$4.77,STE
2023-02-03,$4.77,STE
2023-02-04,$4.77,STE
2023-02-05,$4.77,STE
2023-02-06,$4.77,STE
2023-02-07,$4.77,STE
2023-02-08,$4.77,STE
2023-02-09,$4.77,STE
2023-02-10,$4.77,STE
2023-02-11,$4.77,STE
2023-02-12,$4.77,STE
2023-02-13,$4.77,STE
2023-02-14,$4.77,STE
2023-02-15,$4.77,STE
2023-02-16,$4.77,STE
2023-02-17,$4.77,STE
2023-02-18,$4.77,STE
2023-02-19,$4.77,STE
2023-02-20,$4.77,STE
2023-02-21,$4.77,STE
2023-02-22,$4.77,STE
2023-02-23,$4.77,STE
2023-02-24,$4.77,STE
2023-02-25,$4.77,STE
2023-02-26,$4.77,STE
2023-02-27,$4.77,STE
2023-02-28,$4.77,STE
2023-03-01,$4.77,STE
2023-03-02,$4.77,STE
2023-03-03,$4.77,STE
2023-03-04,$4.77,STE
2023-03-05,$4.77,STE
2023-03-06,$4.77,STE
2023-03-07,$4.77,STE
2023-03-08,$4.77,STE
2023-03-09,$4.77,STE
2023-03-10,$4.77,STE
2023-03-11,$4.77,STE
2023-03-12,$4.77,STE
2023-03-13,$4.77,STE
2023-03-14,$4.77,STE
2023-03-15,$4.77,STE
2022-12-31,$5.20,SYK
2023-01-01,$5.20,SYK
2023-01-02,$5.20,SYK
2023-01-03,$5.20,SYK
2023-01-04,$5.20,SYK
2023-01-05,$5.20,SYK
2023-01-06,$5.20,SYK
2023-01-07,$5.20,SYK
2023-01-08,$5.20,SYK
2023-01-09,$5.20,SYK
2023-01-10,$5.20,SYK
2023-01-11,$5.20,SYK
2023-01-12,$5.20,SYK
2023-01-13,$5.20,SYK
2023-01-14,$5.20,SYK
2023-01-15,$5.20,SYK
2023-01-16,$5.20,SYK
2023-01-17,$5.20,SYK
2023-01-18,$5.20,SYK
2023-01-19,$5.20,SYK
2023-01-20,$5.20,SYK
2023-01-21,$5.20,SYK
2023-01-22,$5.20,SYK
2023-01-23,$5.20,SYK
2023-01-24,$5.20,SYK
2023-01-25,$5.20,SYK
2023-01-26,$5.20,SYK
2023-01-27,$5.20,SYK
2023-01-28,$5.20,SYK
2023-01-29,$5.20,SYK
2023-01-30,$5.20,SYK
2023-01-31,$5.20,SYK
2023-02-01,$5.20,SYK
2023-02-02,$5.20,SYK
2023-02-03,$5.20,SYK
2023-02-04,$5.20,SYK
2023-02-05,$5.20,SYK
2023-02-06,$5.20,SYK
2023-02-07,$5.20,SYK
2023-02-08,$5.20,SYK
2023-02-09,$5.20,SYK
2023-02-10,$5.20,SYK
2023-02-11,$5.20,SYK
2023-02-12,$5.20,SYK
2023-02-13,$5.20,SYK
2023-02-14,$5.20,SYK
2023-02-15,$5.20,SYK
2023-02-16,$5.20,SYK
2023-02-17,$5.20,SYK
2023-02-18,$5.20,SYK
2023-02-19,$5.20,SYK
2023-02-20,$5.20,SYK
2023-02-21,$5.20,SYK
2023-02-22,$5.20,SYK
2023-02-23,$5.20,SYK
2023-02-24,$5.20,SYK
2023-02-25,$5.20,SYK
2023-02-26,$5.20,SYK
2023-02-27,$5.20,SYK
2023-02-28,$5.20,SYK
2023-03-01,$5.20,SYK
2023-03-02,$5.20,SYK
2023-03-03,$5.20,SYK
2023-03-04,$5.20,SYK
2023-03-05,$5.20,SYK
2023-03-06,$5.20,SYK
2023-03-07,$5.20,SYK
2023-03-08,$5.20,SYK
2023-03-09,$5.20,SYK
2023-03-10,$5.20,SYK
2023-03-11,$5.20,SYK
2023-03-12,$5.20,SYK
2023-03-13,$5.20,SYK
2023-03-14,$5.20,SYK
2023-03-15,$5.20,SYK
2022-12-31,$4.44,SYF
2023-01-01,$4.44,SYF
2023-01-02,$4.44,SYF
2023-01-03,$4.44,SYF
2023-01-04,$4.44,SYF
2023-01-05,$4.44,SYF
2023-01-06,$4.44,SYF
2023-01-07,$4.44,SYF
2023-01-08,$4.44,SYF
2023-01-09,$4.44,SYF
2023-01-10,$4.44,SYF
2023-01-11,$4.44,SYF
2023-01-12,$4.44,SYF
2023-01-13,$4.44,SYF
2023-01-14,$4.44,SYF
2023-01-15,$4.44,SYF
2023-01-16,$4.44,SYF
2023-01-17,$4.44,SYF
2023-01-18,$4.44,SYF
2023-01-19,$4.44,SYF
2023-01-20,$4.44,SYF
2023-01-21,$4.44,SYF
2023-01-22,$4.44,SYF
2023-01-23,$4.44,SYF
2023-01-24,$4.44,SYF
2023-01-25,$4.44,SYF
2023-01-26,$4.44,SYF
2023-01-27,$4.44,SYF
2023-01-28,$4.44,SYF
2023-01-29,$4.44,SYF
2023-01-30,$4.44,SYF
2023-01-31,$4.44,SYF
2023-02-01,$4.44,SYF
2023-02-02,$4.44,SYF
2023-02-03,$4.44,SYF
2023-02-04,$4.44,SYF
2023-02-05,$4.44,SYF
2023-02-06,$4.44,SYF
2023-02-07,$4.44,SYF
2023-02-08,$4.44,SYF
2023-02-09,$4.44,SYF
2023-02-10,$4.44,SYF
2023-02-11,$4.44,SYF
2023-02-12,$4.44,SYF
2023-02-13,$4.44,SYF
2023-02-14,$4.44,SYF
2023-02-15,$4.44,SYF
2023-02-16,$4.44,SYF
2023-02-17,$4.44,SYF
2023-02-18,$4.44,SYF
2023-02-19,$4.44,SYF
2023-02-20,$4.44,SYF
2023-02-21,$4.44,SYF
2023-02-22,$4.44,SYF
2023-02-23,$4.44,SYF
2023-02-24,$4.44,SYF
2023-02-25,$4.44,SYF
2023-02-26,$4.44,SYF
2023-02-27,$4.44,SYF
2023-02-28,$4.44,SYF
2023-03-01,$4.44,SYF
2023-03-02,$4.44,SYF
2023-03-03,$4.44,SYF
2023-03-04,$4.44,SYF
2023-03-05,$4.44,SYF
2023-03-06,$4.44,SYF
2023-03-07,$4.44,SYF
2023-03-08,$4.44,SYF
2023-03-09,$4.44,SYF
2023-03-10,$4.44,SYF
2023-03-11,$4.44,SYF
2023-03-12,$4.44,SYF
2023-03-13,$4.44,SYF
2023-03-14,$4.44,SYF
2023-03-15,$4.44,SYF
2022-12-31,$3.39,SNPS
2023-01-01,$3.39,SNPS
2023-01-02,$3.39,SNPS
2023-01-03,$3.39,SNPS
2023-01-04,$3.39,SNPS
2023-01-05,$3.39,SNPS
2023-01-06,$3.39,SNPS
2023-01-07,$3.39,SNPS
2023-01-08,$3.39,SNPS
2023-01-09,$3.39,SNPS
2023-01-10,$3.39,SNPS
2023-01-11,$3.39,SNPS
2023-01-12,$3.39,SNPS
2023-01-13,$3.39,SNPS
2023-01-14,$3.39,SNPS
2023-01-15,$3.39,SNPS
2023-01-16,$3.39,SNPS
2023-01-17,$3.39,SNPS
2023-01-18,$3.39,SNPS
2023-01-19,$3.39,SNPS
2023-01-20,$3.39,SNPS
2023-01-21,$3.39,SNPS
2023-01-22,$3.39,SNPS
2023-01-23,$3.39,SNPS
2023-01-24,$3.39,SNPS
2023-01-25,$3.39,SNPS
2023-01-26,$3.39,SNPS
2023-01-27,$3.39,SNPS
2023-01-28,$3.39,SNPS
2023-01-29,$3.39,SNPS
2023-01-30,$3.39,SNPS
2023-01-31,$3.39,SNPS
2023-02-01,$3.39,SNPS
2023-02-02,$3.39,SNPS
2023-02-03,$3.39,SNPS
2023-02-04,$3.39,SNPS
2023-02-05,$3.39,SNPS
2023-02-06,$3.39,SNPS
2023-02-07,$3.39,SNPS
2023-02-08,$3.39,SNPS
2023-02-09,$3.39,SNPS
2023-02-10,$3.39,SNPS
2023-02-11,$3.39,SNPS
2023-02-12,$3.39,SNPS
2023-02-13,$3.39,SNPS
2023-02-14,$3.39,SNPS
2023-02-15,$3.39,SNPS
2023-02-16,$3.39,SNPS
2023-02-17,$3.39,SNPS
2023-02-18,$3.39,SNPS
2023-02-19,$3.39,SNPS
2023-02-20,$3.39,SNPS
2023-02-21,$3.39,SNPS
2023-02-22,$3.39,SNPS
2023-02-23,$3.39,SNPS
2023-02-24,$3.39,SNPS
2023-02-25,$3.39,SNPS
2023-02-26,$3.39,SNPS
2023-02-27,$3.39,SNPS
2023-02-28,$3.39,SNPS
2023-03-01,$3.39,SNPS
2023-03-02,$3.39,SNPS
2023-03-03,$3.39,SNPS
2023-03-04,$3.39,SNPS
2023-03-05,$3.39,SNPS
2023-03-06,$3.39,SNPS
2023-03-07,$3.39,SNPS
2023-03-08,$3.39,SNPS
2023-03-09,$3.39,SNPS
2023-03-10,$3.39,SNPS
2023-03-11,$3.39,SNPS
2023-03-12,$3.39,SNPS
2023-03-13,$3.39,SNPS
2023-03-14,$3.39,SNPS
2023-03-15,$3.39,SNPS
2022-12-31,$2.63,SYY
2023-01-01,$2.63,SYY
2023-01-02,$2.63,SYY
2023-01-03,$2.63,SYY
2023-01-04,$2.63,SYY
2023-01-05,$2.63,SYY
2023-01-06,$2.63,SYY
2023-01-07,$2.63,SYY
2023-01-08,$2.63,SYY
2023-01-09,$2.63,SYY
2023-01-10,$2.63,SYY
2023-01-11,$2.63,SYY
2023-01-12,$2.63,SYY
2023-01-13,$2.63,SYY
2023-01-14,$2.63,SYY
2023-01-15,$2.63,SYY
2023-01-16,$2.63,SYY
2023-01-17,$2.63,SYY
2023-01-18,$2.63,SYY
2023-01-19,$2.63,SYY
2023-01-20,$2.63,SYY
2023-01-21,$2.63,SYY
2023-01-22,$2.63,SYY
2023-01-23,$2.63,SYY
2023-01-24,$2.63,SYY
2023-01-25,$2.63,SYY
2023-01-26,$2.63,SYY
2023-01-27,$2.63,SYY
2023-01-28,$2.63,SYY
2023-01-29,$2.63,SYY
2023-01-30,$2.63,SYY
2023-01-31,$2.63,SYY
2023-02-01,$2.63,SYY
2023-02-02,$2.63,SYY
2023-02-03,$2.63,SYY
2023-02-04,$2.63,SYY
2023-02-05,$2.63,SYY
2023-02-06,$2.63,SYY
2023-02-07,$2.63,SYY
2023-02-08,$2.63,SYY
2023-02-09,$2.63,SYY
2023-02-10,$2.63,SYY
2023-02-11,$2.63,SYY
2023-02-12,$2.63,SYY
2023-02-13,$2.63,SYY
2023-02-14,$2.63,SYY
2023-02-15,$2.63,SYY
2023-02-16,$2.63,SYY
2023-02-17,$2.63,SYY
2023-02-18,$2.63,SYY
2023-02-19,$2.63,SYY
2023-02-20,$2.63,SYY
2023-02-21,$2.63,SYY
2023-02-22,$2.63,SYY
2023-02-23,$2.63,SYY
2023-02-24,$2.63,SYY
2023-02-25,$2.63,SYY
2023-02-26,$2.63,SYY
2023-02-27,$2.63,SYY
2023-02-28,$2.63,SYY
2023-03-01,$2.63,SYY
2023-03-02,$2.63,SYY
2023-03-03,$2.63,SYY
2023-03-04,$2.63,SYY
2023-03-05,$2.63,SYY
2023-03-06,$2.63,SYY
2023-03-07,$2.63,SYY
2023-03-08,$2.63,SYY
2023-03-09,$2.63,SYY
2023-03-10,$2.63,SYY
2023-03-11,$2.63,SYY
2023-03-12,$2.63,SYY
2023-03-13,$2.63,SYY
2023-03-14,$2.63,SYY
2023-03-15,$2.63,SYY
2022-12-31,$4.07,TMUS
2023-01-01,$4.07,TMUS
2023-01-02,$4.07,TMUS
2023-01-03,$4.07,TMUS
2023-01-04,$4.07,TMUS
2023-01-05,$4.07,TMUS
2023-01-06,$4.07,TMUS
2023-01-07,$4.07,TMUS
2023-01-08,$4.07,TMUS
2023-01-09,$4.07,TMUS
2023-01-10,$4.07,TMUS
2023-01-11,$4.07,TMUS
2023-01-12,$4.07,TMUS
2023-01-13,$4.07,TMUS
2023-01-14,$4.07,TMUS
2023-01-15,$4.07,TMUS
2023-01-16,$4.07,TMUS
2023-01-17,$4.07,TMUS
2023-01-18,$4.07,TMUS
2023-01-19,$4.07,TMUS
2023-01-20,$4.07,TMUS
2023-01-21,$4.07,TMUS
2023-01-22,$4.07,TMUS
2023-01-23,$4.07,TMUS
2023-01-24,$4.07,TMUS
2023-01-25,$4.07,TMUS
2023-01-26,$4.07,TMUS
2023-01-27,$4.07,TMUS
2023-01-28,$4.07,TMUS
2023-01-29,$4.07,TMUS
2023-01-30,$4.07,TMUS
2023-01-31,$4.07,TMUS
2023-02-01,$4.07,TMUS
2023-02-02,$4.07,TMUS
2023-02-03,$4.07,TMUS
